diameter,center_lon,center_lat,counted on,VID,sfs_depth,d/D,age,x,y,radius (m)
4.604465744186689,30.27888412972756,-85.51009337132056,sfs,,0.20462698963820003,0.044,35000000,-3187.549651931437,-2742.48903548383,2.3022328720933447
5.757376125351531,30.283546373746923,-85.50958876604348,sfs,,0.095081686591584,0.017,40000000,-3176.841572587647,-2726.9337227037345,2.8786880626757654
5.20383023795422,30.27738948317787,-85.50863187773209,sfs,,0.2031072955842319,0.039,35000000,-3192.133237848758,-2698.2666499654174,2.60191511897711
10.665868959853041,30.29110046530941,-85.5088851453486,sfs,,0.5234825691113656,0.049,68000000,-3159.406275537687,-2705.1869154914802,5.332934479926521
7.443228438790741,30.301585683296054,-85.5091325821453,sfs,,0.38813788742209,0.052,53000000,-3134.3438533466283,-2712.113963132157,3.7216142193953705
4.211269119217226,30.28825299104844,-85.50998546008792,sfs,,0.15597831523518835,0.037,30000000,-3165.391598448518,-2738.699904275583,2.105634559608613
3.8395309954486394,30.293544830286894,-85.51028846488319,sfs,,0.13694081687026483,0.036,26000000,-3152.6204697345656,-2747.594722041984,1.9197654977243197
8.414713765462556,30.311305774687963,-85.51038904550774,sfs,,0.2685235525132157,0.032,59000000,-3110.4025735130103,-2749.67617392593,4.207356882731278
7.435098647185032,30.32209739319969,-85.50987092892815,sfs,,0.28481018198453967,0.038,53000000,-3085.14873941452,-2733.3875330191217,3.717549323592516
7.1966946575571304,30.32986715942147,-85.51037382084192,sfs,,0.31636789950698585,0.044,53000000,-3066.3657385834726,-2748.217254543373,3.5983473287785652
5.0422962310085255,30.33139810137551,-85.50912027878152,sfs,,0.139125314982266,0.028,35000000,-3063.586038738371,-2710.1335575707258,2.5211481155042628
3.317168285539959,30.338411286897227,-85.50937468974833,sfs,,0.11961909604542598,0.036,22000000,-3046.7663210914725,-2717.4734345592465,1.6585841427699795
5.037015975921658,30.343881912990216,-85.50986001466471,sfs,,0.2429269458834824,0.048,35000000,-3033.4540011692357,-2731.89711664841,2.518507987960829
3.6324738683288054,30.345386631783565,-85.5089402150404,sfs,,0.16290547898461227,0.045,22000000,-3030.5021245416697,-2703.9331802257957,1.8162369341644027
6.630662803903341,30.316647039020815,-85.50851579263794,sfs,,0.2503101498768956,0.038,46000000,-3099.017261091461,-2692.598971624348,3.3153314019516706
13.779692845273674,30.283622137847544,-85.50803308078449,sfs,,1.0085503749469353,0.073,95000000,-3177.75997208076,-2679.7686631198676,6.889846422636837
9.505935592083443,30.308672690652482,-85.50889537011311,sfs,,0.40950221583625535,0.043,68000000,-3117.685715070709,-2704.5373250340003,4.752967796041721
9.438633307418945,30.29782321729961,-85.50921157994487,sfs,,0.5439098536562597,0.058,59000000,-3143.219640686918,-2714.714281414829,4.719316653709472
13.155219942378682,30.331740231181588,-85.50875697656686,sfs,,0.7097167039855776,0.054,95000000,-3063.0211622159118,-2699.101542986085,6.577609971189341
4.359256160943774,30.30214935752349,-85.5082214954264,sfs,,0.11849121548129915,0.027,30000000,-3133.6401287508975,-2684.463271427659,2.179628080471887
17.15912111402494,30.282961069905664,-85.50717183296622,sfs,,1.1850690588216821,0.069,110000000,-3179.9378112360546,-2653.696350187451,8.57956055701247
3.8931050014595145,30.28625526836339,-85.5069122586032,sfs,,0.16598717371016392,0.043,30000000,-3172.2978981275223,-2645.645266908315,1.9465525007297573
5.693496966937761,30.304975459172628,-85.5080749172983,sfs,,0.19570888071939407,0.034,40000000,-3127.0322690051935,-2679.865774423925,2.8467484834688803
4.846422016991059,30.31732154594826,-85.50704339001967,sfs,,0.12298942122743028,0.025,35000000,-3098.4292104493297,-2647.9258690410556,2.4232110084955294
5.27962713539306,30.317572809555937,-85.5072610792911,sfs,,0.1690687868549503,0.032,40000000,-3097.682727796273,-2654.5117028316486,2.63981356769653
6.254688178186126,30.31466122277288,-85.50717441392149,sfs,,0.22307558081138268,0.036,46000000,-3104.656640454392,-2652.0414909395836,3.127344089093063
4.6951677342342775,30.32685236569952,-85.50727980272417,sfs,,0.17293802574477013,0.037,35000000,-3075.633703745993,-2654.580969425728,2.3475838671171387
4.51853182482079,30.330242334991215,-85.50822738307544,sfs,,0.11886355213482602,0.026,35000000,-3066.9378970088515,-2683.1263991973387,2.259265912410395
6.92859736089135,30.31844190315779,-85.50951263305156,sfs,,0.3123160226332402,0.045,46000000,-3094.0707765007987,-2722.7220731627453,3.464298680445675
9.3363193849149,30.31636966653189,-85.5097552345191,sfs,,0.46155192508467735,0.049,59000000,-3098.8221905620767,-2730.1883182660486,4.66815969245745
7.368190483753369,30.33949703527366,-85.50831675757074,sfs,,0.2093778240696338,0.028,53000000,-3044.9048383472623,-2685.3437951841934,3.6840952418766846
3.973031454580097,30.32752438113844,-85.5091751642716,sfs,,0.18917340841198893,0.048,27000000,-3072.743744379985,-2712.0042380152336,1.9865157272900484
7.001541540291042,30.28296695885562,-85.50610495340646,sfs,,0.33959341322588443,0.049,46000000,-3180.677347698997,-2621.3533924875546,3.500770770145521
13.192960919941724,30.293953730932184,-85.50634447860338,sfs,,0.6721211002204655,0.051,95000000,-3154.4128407932058,-2628.0091633177794,6.596480459970862
3.5354157239899062,30.32776078971593,-85.5075606356608,sfs,,0.14598437968470535,0.041,25000000,-3073.284753787826,-2663.0460239516046,1.7677078619949531
7.233636723010792,30.3383518229569,-85.50749071473149,sfs,,0.3008059134026553,0.042,53000000,-3048.183054120621,-2660.3623167320734,3.616818361505396
7.146890399409962,30.290473855999874,-85.50588593419594,sfs,,0.3604783434220735,0.05,53000000,-3163.0001579215773,-2614.299505514737,3.573445199704981
7.941013257313602,30.29416422213742,-85.50553124036533,sfs,,0.41161119596836215,0.052,53000000,-3154.482464295193,-2603.3440481986177,3.970506628656801
4.653169851078422,30.317588601839724,-85.50670878254529,sfs,,0.12143550272685388,0.026,35000000,-3098.0252192814664,-2637.7676524143044,2.326584925539211
4.611415857768504,30.321598060297433,-85.50664234067861,sfs,,0.17698967271280708,0.038,35000000,-3088.548342311952,-2635.5376417615976,2.305707928884252
4.90494502387079,30.321011187638344,-85.50734645040225,sfs,,0.1614093708267319,0.033,35000000,-3089.4590109896358,-2656.9147127242495,2.452472511935395
3.9628607445671924,30.31239806253092,-85.50700159119964,sfs,,0.06714241633198981,0.017,30000000,-3110.1504489380627,-2646.9246341659,1.9814303722835962
4.293765604800621,30.319127603657567,-85.50616735718914,sfs,,0.13786614602031477,0.032,30000000,-3094.7421710798785,-2621.271110389777,2.1468828024003104
4.158912091859787,30.316006520054135,-85.50622322864031,sfs,,0.121354132941633,0.029,30000000,-3102.1171317995963,-2623.133138877223,2.0794560459298936
4.251183680932866,30.31723190360295,-85.50571718481643,sfs,,0.3140865311543166,0.074,8000000,-3099.5548049664167,-2607.7260202433586,2.125591840466433
9.949668810207426,30.322799797829436,-85.50591585627892,sfs,,0.41417066320536833,0.042,68000000,-3086.192016445456,-2613.4492494689434,4.974834405103713
5.885462457225896,30.326165644702947,-85.505732947597,sfs,,0.2306035677484033,0.039,40000000,-3078.321736662344,-2607.723750312341,2.942731228612948
6.920679268799246,30.338970712026807,-85.50704014522611,sfs,,0.1487329482943096,0.021,46000000,-3047.018360214986,-2646.6701098238095,3.460339634399623
6.636204878349094,30.340812554452345,-85.50693372019968,sfs,,0.30077413553317456,0.045,46000000,-3042.716197400182,-2643.3461702667823,3.318102439174547
2.8721793166422893,30.330624128135707,-85.50599420002322,sfs,,0.08813057931911317,0.031,23000000,-3067.552570965404,-2615.405431701896,1.4360896583211447
7.434925992951252,30.33689163195246,-85.50590518387763,sfs,,0.43795225852227304,0.059,53000000,-3052.725165150085,-2612.373142229004,3.717462996475626
7.823938821886313,30.337156127967447,-85.50626659064507,sfs,,0.37210523842622933,0.048,53000000,-3051.8519452885544,-2623.315436873539,3.9119694109431564
5.470661263423597,30.30808518449957,-85.5059076017802,sfs,,0.18477447780514922,0.034,40000000,-3121.15099007778,-2613.993593448509,2.7353306317117987
7.4141607324733805,30.310462510470018,-85.50542687927773,sfs,,0.5602905893010757,0.076,23000000,-3115.836422674296,-2599.2912695576233,3.7070803662366902
5.053783904495505,30.34550846656324,-85.50559354420176,sfs,,0.2437729455423323,0.048,35000000,-3032.466213969375,-2602.469366771521,2.5268919522477526
11.26718283094328,30.36132717706104,-85.50578534360243,sfs,,0.7431770711145873,0.066,81000000,-2994.7594952007703,-2607.4545406536063,5.63359141547164
3.497649851823748,30.355579056018787,-85.50571855687386,sfs,,0.08887855890498031,0.025,26000000,-3008.4588806267666,-2605.7300190186784,1.748824925911874
4.203280695763508,30.357859751996546,-85.50616531163566,sfs,,0.0894793770630713,0.021,30000000,-3002.7430781864923,-2619.154591354838,2.101640347881754
6.868297311382715,30.36528148517519,-85.50621746046183,sfs,,0.2984847508378152,0.043,46000000,-2985.079506005203,-2620.3489426461747,3.4341486556913576
6.911248209634983,30.35362363779204,-85.508117898202,sfs,,0.37257553148447187,0.054,46000000,-3011.498875866049,-2678.5709055047646,3.4556241048174914
22.938217559473614,30.349149235409488,-85.50827675314935,sfs,,2.4404233035256766,0.106,3000000,-3022.0157200101116,-2683.621599894005,11.469108779736807
6.701713429920603,30.36088562269792,-85.50875519729374,sfs,,0.3003884014378855,0.045,46000000,-2993.8329091447877,-2697.511914900501,3.3508567149603015
16.138060620629783,30.36888758722152,-85.50944660833116,sfs,,0.7789774813172698,0.048,110000000,-2974.3795758700685,-2718.0573713986696,8.069030310314892
