label,score,col,row,width,height,lon,lat,diameter
crater,0.98,1177,410,2,2,28.4343147278,-85.1549530029,1
crater,0.95,1067,437,2,2,28.3908405304,-85.1556396484,1
crater,0.95,955,451,2,2,28.3468647003,-85.1558914185,1
crater,0.96,856,471,2,2,28.3078174591,-85.1563644409,1
crater,0.96,1019,475,2,2,28.3712882996,-85.1568069458,1
crater,0.97,875,554,2,2,28.3133602142,-85.1591339111,1
crater,0.97,698,564,2,2,28.2440814972,-85.1591262817,1
crater,0.96,621,606,2,2,28.2130718231,-85.1603546143,1
crater,0.96,787,647,2,2,28.2769165039,-85.1620254517,1
crater,0.95,634,696,2,2,28.2160625458,-85.1633453369,1
crater,0.98,700,719,2,2,28.2413024902,-85.1642303467,1
crater,0.95,1000,721,2,2,28.3584270477,-85.1648635864,1
crater,0.97,1157,727,2,2,28.419626236,-85.1653594971,1
crater,0.99,634,773,2,2,28.2142772675,-85.1658782959,1
crater,0.99,642,776,2,2,28.21733284,-85.1659927368,1
crater,0.96,484,408,2,2,28.164270401,-85.1535720825,1
crater,0.98,471,478,2,2,28.1575603485,-85.1558456421,1
crater,0.97,576,478,2,2,28.1984920502,-85.1560516357,1
crater,0.95,521,617,2,2,28.1737957001,-85.1605224609,1
crater,0.99,395,629,2,2,28.1243495941,-85.1606674194,1
crater,0.96,397,646,2,2,28.1247272491,-85.1612319946,1
crater,0.97,485,646,2,2,28.1590671539,-85.1614074707,1
crater,0.98,450,652,2,2,28.1452674866,-85.161529541,1
crater,0.98,399,660,2,2,28.1251735687,-85.1616973877,1
crater,0.99,465,665,2,2,28.1508140564,-85.1619873047,1
crater,0.96,370,698,2,2,28.1129493713,-85.1628875732,1
crater,0.96,392,699,2,2,28.121515274,-85.1629638672,1
crater,0.98,448,722,2,2,28.1428318024,-85.1638336182,1
crater,0.98,551,765,2,2,28.1820430756,-85.1654510498,1
crater,0.97,449,793,2,2,28.1415424347,-85.1661758423,1
crater,0.96,1285,17,2,2,28.4847888947,-85.1422119141,1
crater,0.99,1406,27,2,2,28.5316314697,-85.1427536011,1
crater,0.96,1406,41,2,2,28.531337738,-85.1432189941,1
crater,0.99,1240,55,2,2,28.4664783478,-85.1433792114,1
crater,0.98,1368,94,2,2,28.5154438019,-85.1448974609,1
crater,0.95,1394,146,2,2,28.5244674683,-85.1466522217,1
crater,0.96,1397,176,2,2,28.5250072479,-85.147644043,1
crater,0.99,1380,206,2,2,28.5177574158,-85.1486053467,1
crater,0.95,1375,236,2,2,28.5151786804,-85.1495819092,1
crater,0.96,1343,291,2,2,28.5015525818,-85.1513366699,1
crater,0.99,1342,294,2,2,28.5011005402,-85.1514358521,1
crater,0.95,1388,313,2,2,28.5186214447,-85.1521377563,1
crater,0.96,1265,355,2,2,28.4697990417,-85.1533050537,1
crater,0.95,1059,2,2,2,28.3972434998,-85.1413040161,1
crater,0.96,902,20,2,2,28.3358154297,-85.1416015625,1
crater,0.98,1091,21,2,2,28.4092712402,-85.1419906616,1
crater,0.96,673,46,2,2,28.2462081909,-85.1420211792,1
crater,0.97,900,47,2,2,28.3344364166,-85.1424865723,1
crater,0.95,1182,56,2,2,28.4438991547,-85.1433105469,1
crater,0.96,990,61,2,2,28.3691234589,-85.143119812,1
crater,0.98,874,69,2,2,28.3238372803,-85.1431655884,1
crater,0.96,620,84,2,2,28.2247314453,-85.1431732178,1
crater,0.97,681,111,2,2,28.247833252,-85.1441802979,1
crater,0.97,780,133,2,2,28.2858390808,-85.1450958252,1
crater,0.98,828,137,2,2,28.3044223785,-85.1453170776,1
crater,0.97,604,138,2,2,28.2172660828,-85.1449203491,1
crater,0.99,603,145,2,2,28.216714859,-85.1451416016,1
crater,0.96,1181,148,2,2,28.4415283203,-85.1463317871,1
crater,0.96,956,166,2,2,28.3535785675,-85.1465148926,1
crater,0.95,866,175,2,2,28.3183555603,-85.1466369629,1
crater,0.96,831,183,2,2,28.3045558929,-85.1468353271,1
crater,0.98,1089,208,2,2,28.4044208527,-85.1481399536,1
crater,0.97,1038,212,2,2,28.3844795227,-85.1481781006,1
crater,0.98,1017,233,2,2,28.3758411407,-85.1488342285,1
crater,0.95,954,239,2,2,28.3511810303,-85.1489105225,1
crater,0.97,863,276,2,2,28.3149242401,-85.1499557495,1
crater,0.97,862,278,2,2,28.3144893646,-85.1500244141,1
crater,0.98,977,291,2,2,28.3589859009,-85.1506652832,1
crater,0.97,758,296,2,2,28.2735843658,-85.1504135132,1
crater,0.97,1124,325,2,2,28.4155025482,-85.1520614624,1
crater,0.97,732,336,2,2,28.2625484467,-85.1516799927,1
crater,0.97,1079,355,2,2,28.3973140717,-85.152961731,1
crater,0.98,926,356,2,2,28.3376750946,-85.1527099609,1
crater,0.96,1188,369,2,2,28.4394874573,-85.1536254883,1
crater,0.99,971,377,2,2,28.3547439575,-85.1534881592,1
crater,0.99,982,386,2,2,28.3588314056,-85.1538009644,1
crater,0.96,1050,394,2,2,28.3851566315,-85.1541976929,1
crater,0.96,1185,395,2,2,28.4377574921,-85.1544723511,1
crater,0.95,581,160,2,2,28.2078113556,-85.1455993652,1
crater,0.95,565,305,2,2,28.198223114,-85.1503372192,1
crater,0.98,549,306,2,2,28.1919708252,-85.1503372192,1
crater,0.95,580,358,2,2,28.202835083,-85.1521148682,1
crater,0.97,835,809,2,2,28.2919864655,-85.1674499512,1
crater,0.96,711,976,2,2,28.2396869659,-85.1727142334,1
crater,0.95,35,800,2,2,27.979675293,-85.1655578613,1
crater,0.99,436,800,2,2,28.136297226,-85.1663742065,1
crater,0.96,435,803,2,2,28.1358356476,-85.1664733887,1
crater,0.99,468,930,2,2,28.1457233429,-85.1707229614,1
crater,0.96,160,932,2,2,28.0252628326,-85.1701583862,1
crater,0.97,466,936,2,2,28.1448001862,-85.1709136963,1
crater,0.96,220,971,2,2,28.0477676392,-85.1715698242,1
crater,0.96,18,1013,2,2,27.9677410126,-85.1725311279,1
crater,0.98,256,1073,2,2,28.0593700409,-85.1750030518,1
crater,0.96,688,526,2,2,28.2410545349,-85.1578521729,1
